geohash,VesselType,VesselType_labeled,LAT,LON,SOG,count,weighted_average_SOG
dhvmf,Cargo,0,27.74131,-82.52868,12.9,1,12.9
dhvmf,Cargo,0,27.74581,-82.52707,13.0,1,13.0
dhvmf,Cargo,0,27.75374,-82.52413,13.0,1,13.0
dhvmf,Cargo,0,27.76212,-82.52299,13.0,1,13.0
dhvmf,Cargo,0,27.76644,-82.52305,13.0,1,13.0
dhvmf,Cargo,0,27.77118,-82.52303,12.9,1,12.9
dhvq4,Cargo,0,27.78906,-82.50863,13.6,2,13.6
dhvq4,Cargo,0,27.79221,-82.49941,13.5,2,13.5
dhvq4,Cargo,0,27.79358,-82.49541,13.5,2,13.5
dhvq4,Cargo,0,27.7952,-82.49082,13.5,2,13.5
dhvq4,Cargo,0,27.79676,-82.48627,13.5,2,13.5
dhvq5,Cargo,0,27.79812,-82.48228,13.5,1,13.5
dhvq5,Cargo,0,27.7997,-82.47767,13.4,1,13.4
dhvq5,Cargo,0,27.80131,-82.47307,13.3,1,13.3
dhvq5,Cargo,0,27.80277,-82.46859,13.3,1,13.3
dhvq5,Cargo,0,27.80428,-82.46408,13.3,2,13.3
dhvq5,Cargo,0,27.80617,-82.45959,13.2,2,13.2
dhvq5,Cargo,0,27.80847,-82.45558,13.1,1,13.1
dhvq5,Cargo,0,27.81127,-82.45196,13.1,1,13.1
dhvq5,Cargo,0,27.81458,-82.44933,13.0,1,13.0
dhvq7,Cargo,0,27.81805,-82.44775,13.1,1,13.1
dhvq7,Cargo,0,27.82233,-82.44707,13.0,1,13.0
dhvq7,Cargo,0,27.82653,-82.44657,13.0,1,13.0
dhvq7,Cargo,0,27.83071,-82.44615,13.0,1,13.0
dhvq7,Cargo,0,27.83494,-82.44575,13.0,1,13.0
dhvq7,Cargo,0,27.83925,-82.44534,13.0,1,13.0
dhvq7,Cargo,0,27.8434,-82.44494,13.2,1,13.2
dhvq7,Cargo,0,27.84764,-82.44455,13.2,1,13.2
dhvq7,Cargo,0,27.85203,-82.44423,13.2,1,13.2
dhvq7,Cargo,0,27.8563,-82.44411,13.1,1,13.1
dhvq7,Cargo,0,27.86045,-82.44376,13.3,1,13.3
dhvqe,Cargo,0,27.86482,-82.44311,13.3,1,13.3
dhvqe,Cargo,0,27.86906,-82.44246,13.3,1,13.3
dhvqe,Cargo,0,27.87336,-82.44188,13.4,1,13.4
dhvqs,Cargo,0,27.87764,-82.44129,13.4,1,13.4
